configuration,target_id,solve_time_ms,timing_repeats
1,C-01,7.221209,3
1,C-02,8.449834,3
1,C-03,11.449250,3
1,C-04,7.240750,3
1,C-05,7.167083,3
1,C-06,8.385792,3
1,C-07,7.187750,3
1,C-08,7.497667,3
1,C-09,7.740916,3
1,C-10,7.239417,3
1,C-11,7.382667,3
1,C-12,8.054042,3
2,C-01,8.555333,3
2,C-02,7.447875,3
2,C-03,11.405083,3
2,C-04,7.991792,3
2,C-05,8.750000,3
2,C-06,10.291542,3
2,C-07,7.275292,3
2,C-08,7.246000,3
2,C-09,11.689042,3
2,C-10,7.161125,3
2,C-11,7.232167,3
2,C-12,11.703542,3
3,C-01,8.916334,3
3,C-02,7.335833,3
3,C-03,7.419542,3
3,C-04,7.553334,3
3,C-05,10.033250,3
3,C-06,7.555750,3
3,C-07,8.576000,3
3,C-08,9.546625,3
3,C-09,7.337041,3
3,C-10,9.675833,3
3,C-11,7.364375,3
3,C-12,8.436500,3
4,C-01,9.238750,3
4,C-02,9.244000,3
4,C-03,7.538167,3
4,C-04,7.622125,3
4,C-05,16.798166,3
4,C-06,12.672875,3
4,C-07,8.830250,3
4,C-08,10.032417,3
4,C-09,8.638583,3
4,C-10,7.277125,3
4,C-11,7.749792,3
4,C-12,8.445833,3
5,C-01,7.879541,3
5,C-02,10.990375,3
5,C-03,8.997334,3
5,C-04,9.723500,3
5,C-05,9.310584,3
5,C-06,8.341458,3
5,C-07,7.721542,3
5,C-08,7.919833,3
5,C-09,9.869209,3
5,C-10,10.027833,3
5,C-11,7.445417,3
5,C-12,7.376042,3
